created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 15:14:40 +0000 2023;1696904274213732466;"Gais";3;99;37;3656;lt;1586992742093103104;1696904274213732466;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1696904274213732466
Tue Aug 22 07:55:29 +0000 2023;1693894647951831074;"Gais kemarin";4;166;36;3517;in;1586992742093103104;1693894647951831074;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1693894647951831074
Tue Aug 22 06:47:43 +0000 2023;1693877594222186971;"Gais";1;100;37;3214;lt;1586992742093103104;1693877594222186971;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1693877594222186971
Sat Aug 19 15:53:09 +0000 2023;1692927691291525582;"Gais";5;227;64;5577;lt;1586992742093103104;1692927691291525582;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1692927691291525582
Wed Aug 16 15:41:39 +0000 2023;1691837633952170056;"Vccc aku so ya gais,makasih ya ga sayang” akuhhhhh 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️";6;52;41;3598;in;1586992742093103104;1691837633952170056;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1691837633952170056
Wed Aug 16 07:17:39 +0000 2023;1691710798320787521;"Gais";2;252;43;4079;lt;1586992742093103104;1691710798320787521;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1691710798320787521
Mon Aug 14 14:07:08 +0000 2023;1691089072104644608;"Itu bukan aku ambil bantal Elin ya gais tapi kita punya dan kembar 🙏🏻🙏🏻";2;63;43;3585;in;1586992742093103104;1691089072104644608;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1691089072104644608
Mon Aug 14 05:21:25 +0000 2023;1690956771534553088;"Astaga gais ,lucu banget bantalnya ya michie";1;65;132;6232;in;1586992742093103104;1690956771534553088;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1690956771534553088
Sun Aug 13 14:39:05 +0000 2023;1690734726750023680;"Tadi aku liat muka AKUU gede bangettt gais💗💗💗💗💗💗";5;102;69;5140;in;1586992742093103104;1690734726750023680;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1690734726750023680
Sat Aug 12 15:40:38 +0000 2023;1690387825672454144;"Hah kuliah gais?";9;162;61;6190;in;1586992742093103104;1690387825672454144;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1690387825672454144
Fri Aug 11 15:05:47 +0000 2023;1690016669517611008;"Sekarang srnya beneran ko gais😃";5;105;36;4019;in;1586992742093103104;1690016669517611008;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1690016669517611008
Tue Aug 08 07:03:16 +0000 2023;1688808077209010176;"Gais";7;226;49;3860;lt;1586992742093103104;1688808077209010176;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1688808077209010176
Tue Aug 01 15:31:14 +0000 2023;1686399193454350337;"Gais";2;92;56;4101;lt;1586992742093103104;1686399193454350337;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1686399193454350337
Sat Jul 29 06:39:38 +0000 2023;1685178250715422720;"Gais";3;271;51;5080;lt;1586992742093103104;1685178250715422720;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1685178250715422720
Sun Jul 23 14:18:55 +0000 2023;1683119504375832581;"Jam brp ni gais";1;269;56;4950;in;1586992742093103104;1683119504375832581;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1683119504375832581
Fri Jul 14 15:59:37 +0000 2023;1679883354399973376;"Gais aku mau bilang,Terimaksih banyak ya buar sr kemarin bisa tembus 40 k view,kalian kerennnnnnn💗💗🫶🏻🫶🏻";3;123;66;6338;in;1586992742093103104;1679883354399973376;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1679883354399973376
Mon Jun 05 08:35:57 +0000 2023;1665638575898075136;"Gais aku ini udah jadi cece”,bukan bocil lagii☝🏻";6;371;53;5395;in;1586992742093103104;1665638575898075136;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1665638575898075136
Mon May 22 13:02:49 +0000 2023;1660632305151676417;"Sr yok gais";0;132;36;2686;in;1586992742093103104;1660632305151676417;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1660632305151676417
Tue May 09 08:09:25 +0000 2023;1655847428078305280;"Halo gais";2;197;38;2765;in;1586992742093103104;1655847428078305280;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1655847428078305280
Fri Apr 28 14:47:25 +0000 2023;1651961322870038530;"Gimanaa gais MVnyaaaa,AAAA AKU SENENG BANGET💗💗";5;95;84;3677;in;1586992742093103104;1651961322870038530;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1651961322870038530
Thu Apr 27 14:21:12 +0000 2023;1651592336475066369;"Doakan saya menang ya gais🙏🏻🙏🏻";1;42;21;1674;in;1586992742093103104;1651592336475066369;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1651592336475066369
Sat Jan 28 10:36:52 +0000 2023;1619283359548735489;"Gais aku ada lato” model baruuu😎😎";3;53;22;1496;in;1586992742093103104;1619283359548735489;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1619283359548735489
Thu Jan 26 08:30:06 +0000 2023;1618526680687214597;"Gais menurut kalian aku bawel gaaa??? https://t.co/xBB4dbJ5Tn";12;78;131;2523;in;1586992742093103104;1618526680687214597;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1618526680687214597
Mon Jan 23 14:38:14 +0000 2023;1617532162793943042;"Malam gais..part 3😉  Terus ci gracie ambil teko buat masak air dan dia tuang air ke teko.. lalu dia bawa ke lantai tekonya gais.. Kalian tau ga ci gracie nanya ke aku,airnya udah mendidih ya ini..spontan kita semua ngakak 😅 gimana bisa mendidih orang colokannya diatas meja";1;52;34;1420;in;1586992742093103104;1617532162793943042;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1617532162793943042
Sat Jan 21 15:55:38 +0000 2023;1616826864265498631;"Ini part 2nya ya gais… Jadi aku sama ci @Gracie_JKT48  bagi tugas gais,aku yang tuang bumbu mi instannya terus ci gracie yang masak air,nah aku tuang bumbunya di meja gais terus selesai aku tuang bumbunya aku duduk di lantai bareng gen 11. Lanjut part 3 gaiss🙏🏻😸";4;64;33;1340;in;1586992742093103104;1616826864265498631;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1616826864265498631
Tue Jan 17 15:10:48 +0000 2023;1615366030028865537;"Haloo gais met malam,jadi aku ada cerita tentang ci @Gracie_JKT48 ….. jadi waktu kita pulang dari 11 aniv concert,  kan gen 11 pada kumpul di kamar ci gracie… dan gen 11 memutuskan untuk membuat mi instan…  okei gais kalo rame lanjut part 2🙆🏻‍♀️😄🙏🏻";10;95;43;2040;in;1586992742093103104;1615366030028865537;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1615366030028865537
Wed Jan 11 07:14:01 +0000 2023;1613071717790027778;"siang gais...yuk yang punya senyum manis komen 😊☺️ Kelompok senyum manis tunjukkan pesonamu 😉 https://t.co/P9JLNBC71M";11;67;116;2322;in;1586992742093103104;1613071717790027778;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1613071717790027778
Thu Jan 05 09:10:01 +0000 2023;1610926581345841154;"@Michie_JKT48 GAIS aku udah ajarin michie main lato” tapi ada ajaa,yang lato”nya kena tangan dia terus dia kesakitan,akhirnya dia cape sendiri🙂🙂☝🏻☝🏻";2;57;24;1637;in;1586992742093103104;1610921817824464896;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1610926581345841154
Tue Jan 03 11:20:33 +0000 2023;1610234657144180737;"@Michie_JKT48 YAAMPUN GAIS aku harus paksa michie dlu biar dia mau naik slidenya🥹🥹";0;27;28;1503;in;1586992742093103104;1610234220831723521;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1610234657144180737
Tue Dec 27 06:23:08 +0000 2022;1607623094834954240;"Rate dongg gais☝🏻 https://t.co/KFuS1De3cx";9;122;65;2724;hi;1586992742093103104;1607623094834954240;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1607623094834954240
Wed Dec 21 07:35:15 +0000 2022;1605466917044572160;"Hallo gais selamat siang,cathyyy kembaliii🤠🤠";1;45;21;1494;in;1586992742093103104;1605466917044572160;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1605466917044572160
Tue Dec 20 15:04:37 +0000 2022;1605217613826560000;"Ouh iya gais,ada cerita lucu lhoo tentang ci @Gracie_JKT48 HAHAHA,ada yang mau tau?🙌🏻🙌🏻🙌🏻";5;117;35;2266;in;1586992742093103104;1605217613826560000;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1605217613826560000
Tue Dec 20 14:59:51 +0000 2022;1605216416428199936;"@Y_CynthiaJKT48 IYA GAISS,kita itu udah niat banget buat Deep talk lhooo,tapi cici kita satu ini ama kak anin malah turu gais🙏🏻🥹";1;19;19;1311;in;1586992742093103104;1605210346733834242;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1605216416428199936
